rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.9992909477664854,0.0,1.0,0.0,0.33310890197753906,0.0,0.009973526000976562,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.9992909477664854,1.0
2,0.9990545970219806,0.0,1.0,0.0,1.2245523929595947,0.0,0.011968135833740234,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.9990545970219806,1.0
2,0.9990545970219806,0.0,1.0,0.0,0.8726835250854492,0.0,0.013962984085083008,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.9990545970219806,1.0
2,0.9990545970219806,0.0,1.0,0.0,0.328122615814209,0.0,0.010970830917358398,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.9990545970219806,1.0
5,0.9985818955329709,0.0,0.9994090183795284,0.0,1.1160147190093994,0.0,0.011968612670898438,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.9985818955329709,0.9994090183795284
5,0.9985818955329709,0.0,0.9994090183795284,0.0,0.6629743576049805,0.0,0.0139617919921875,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.9985818955329709,0.9994090183795284
7,0.998345544788466,0.0,1.0,0.0,1.414233684539795,0.0,0.011967897415161133,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.998345544788466,1.0
7,0.998345544788466,0.0,1.0,0.0,1.4222602844238281,0.0,0.013962984085083008,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.998345544788466,1.0
7,0.998345544788466,0.0,1.0,0.0,0.3266336917877197,0.0,0.011968374252319336,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.998345544788466,1.0
7,0.998345544788466,0.0,1.0,0.0,0.21892333030700684,0.0,0.00897526741027832,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.998345544788466,1.0
11,0.5731505554242496,0.0,0.5731339755333609,0.0,1.4457690715789795,0.0,0.013968944549560547,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.5731505554242496,0.5731339755333609
11,0.5731505554242496,0.0,0.5731339755333609,0.0,0.9888632297515869,0.0,0.012964725494384766,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.5731505554242496,0.5731339755333609
11,0.5731505554242496,0.0,0.5731339755333609,0.0,0.7067630290985107,0.0,0.012964487075805664,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.5731505554242496,0.5731339755333609
11,0.5731505554242496,0.0,0.5731339755333609,0.0,0.11619734764099121,0.0,0.008976459503173828,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.5731505554242496,0.5731339755333609
11,0.5731505554242496,0.0,0.5731339755333609,0.0,0.11984610557556152,0.0,0.00848841667175293,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.5731505554242496,0.5731339755333609
